id,amount_tsh,longitude,latitude
69572,6000,34.93809275,-9.85632177
8776,0,34.6987661,-2.14746569
34310,25,37.46066446,-3.82132853
67743,0,38.48616088,-11.15529772
19728,0,31.13084671,-1.82535885
9944,20,39.1727956,-4.76558728
19816,0,33.36240982,-3.76636472
54551,0,32.62061707,-4.22619802
53934,0,32.71110001,-5.14671181
46144,0,30.62699053,-1.25705061
49056,0,39.20951812,-7.03413939
50409,200,35.77025785,-10.57417468
36957,0,33.79810612,-3.2901938
50495,0,37.09257412,-3.1817833
53752,0,34.36407268,-3.62933335
61848,0,31.44412134,-8.27496163
48451,500,34.64243884,-9.10618458
58155,0,34.56926611,-9.08551497
34169,0,32.92015381,-1.94786801
18274,500,34.50896732,-9.8944125
48375,200,34.47342985,-9.59498965
6091,0,0,-2.00E-08
58500,0,34.58690108,-8.98001429
37862,500,37.94002949,-4.12559468
51058,0,29.74706567,-4.49556758
22308,0,37.42275132,-3.31753648
55012,500,39.37077651,-9.94253166
20145,0,31.10425712,-1.73536124
19685,0,37.61112572,-3.2635263
69124,0,37.06168837,-3.19198926
46804,0,36.1083125,-5.79099991
6696,50,38.36355454,-6.63610419
57238,0,37.49233371,-3.29062725
12402,0,34.47835586,-9.71590954
41583,0,39.81291224,-7.8899863
57355,0,36.61869946,-3.29300336
67359,0,33.85434473,-9.63851993
60048,0,35.85837259,-4.6479063
16583,4000,35.89026429,-8.22439872
25,0,30.6133054,-3.89456056
70238,25,37.42002692,-3.47684942
12796,500,33.92790176,-9.20464923
52019,500,34.81457364,-9.03250291
19282,0,34.96778863,-4.62892053
1843,20,36.80607857,-3.47855934
12958,0,33.34526033,-3.83899753
45111,20,39.08741514,-11.00060373
13620,0,33.5406067,-9.17290468
18864,4000,35.87141325,-8.22756303
25182,1500,34.44128349,-9.18987766
3228,20,37.37285829,-3.34929238
19308,0,32.04683486,-8.57166114
10745,0,33.95816322,-9.44812238
32376,0,0,-2.00E-08
9417,0,30.98302258,-1.68065404
68724,20,37.34816881,-3.35653763
74197,6,37.47943592,-3.36819761
22961,0,36.72112734,-3.33981163
24593,0,35.56134607,-3.80687858
31714,0,31.45428168,-1.56388609
29952,0,38.78943655,-5.11324963
40393,0,38.37667127,-4.6472895
2127,500,29.66972029,-4.77975837
8265,0,36.94745079,-3.35002587
67433,0,34.76272634,-4.30776106
51072,0,34.62159801,-5.17313618
34255,0,34.89725735,-9.2035221
22108,0,30.71609028,-1.2857798
4720,0,34.55789311,-8.88959406
54801,0,29.76800862,-4.47180947
21990,200,35.81898147,-8.93495018
17386,0,34.46222769,-8.57578037
41609,0,34.24718,-8.60751263
35715,0,34.6570345,-1.88801974
53970,500,30.41995839,-4.27996794
62971,0,31.79687285,-1.35148627
63542,500,34.68047144,-9.3264772
15622,0,36.93165941,-3.55703413
12903,0,38.58082367,-4.8348356
52561,0,32.25500494,-3.36190077
19415,0,34.28447604,-9.27156548
65531,0,37.7229531,-7.02426273
3675,0,36.75793224,-3.3747906
34383,0,33.53890869,-3.36161167
30423,0,34.19057512,-1.60969058
68717,0,32.18551701,-2.37877187
3688,500,35.73447433,-7.91231657
30537,0,31.55890304,-2.02646851
27312,50,38.35356668,-6.63869562
22143,0,35.87817211,-5.89186837
43237,200,29.67098869,-4.7268496
62591,0,38.96294513,-10.47656619
39920,200,38.89040167,-6.55790327
70892,0,35.51217404,-4.44803987
48593,0,31.45311103,-1.19438963
26419,250,30.21673046,-4.34106206
68554,500,30.12668109,-4.23637808
29083,0,33.0795039,-3.00965923
33379,0,35.54217277,-10.80885305
43206,0,33.23583842,-3.56601953
41743,0,39.04298326,-4.99423737
17970,0,34.56343795,-4.09374985
25693,0,30.65026741,-3.55486258
39364,50,36.95075936,-11.31324316
57580,10,37.17489041,-3.21646394
23000,1000,37.61640658,-3.56996907
59902,0,33.69790014,-3.26949691
60371,0,31.7673009,-3.0251057
74246,50,35.63048144,-7.71054858
7116,0,33.80508085,-9.1306743
64063,0,36.90832887,-3.33074309
59983,0,36.87553547,-3.3445666
10784,0,31.48904738,-3.26790435
49503,0,33.23267014,-9.26648533
54248,0,36.55702857,-6.37279744
24409,0,31.66327256,-1.08048548
21068,0,37.48747402,-6.82950072
62341,0,33.35647131,-2.06349369
10837,0,34.44864527,-2.02266257
35458,50,37.02381013,-5.5923447
36038,100,34.22303933,-9.3449213
64447,0,31.57239755,-1.42926609
22897,0,31.4647567,-2.77016894
2915,0,36.77862138,-2.55618033
14016,0,33.87310388,-9.29061569
69525,0,32.071081,-5.06726885
73061,50,34.71064345,-5.18676616
42031,500,34.64835709,-9.31731152
33235,0,32.95155946,-3.77939282
41839,0,32.99370088,-2.69044203
62002,0,31.6012707,-2.93012242
6106,20,36.84150658,-3.49366766
25915,0,33.86126585,-8.68481006
20673,0,32.54432125,-4.07660522
59475,0,38.32726235,-4.4646702
24012,0,34.68859705,-9.69622598
69107,0,32.41352249,-9.09504292
64062,30,39.88898115,-10.13363156
44002,0,31.19411613,-3.06136744
37471,0,31.64732214,-2.78450823
49585,0,33.86084491,-9.59608383
60852,20,37.82346185,-6.7716987
64130,0,32.78502522,-5.41803094
17687,0,37.44310991,-6.29976667
38876,0,37.88687839,-6.86199999
28669,50,39.1857105,-6.89259326
73769,0,31.65326799,-1.59857903
66521,2000,34.98887131,-8.91132497
53167,0,39.6002343,-10.02772132
24232,0,34.35839958,-8.69424705
65788,0,34.45547821,-1.24644694
72981,0,33.78421925,-8.77994557
60983,0,39.52711433,-6.98874758
37768,0,34.56387749,-1.72068493
64880,0,29.80857829,-4.46052001
32871,400,37.41877342,-10.91557638
45564,0,33.54480544,-8.9288387
23519,0,32.17244285,-3.64330972
50173,0,34.08915375,-3.12214007
66843,0,39.55938321,-9.70159734
13815,1000,34.94546531,-8.86866011
36591,0,32.06591365,-8.68875072
71845,500,34.68050209,-8.84136926
42180,1200,30.26413388,-4.52564753
63632,0,33.16358148,-2.54645921
55594,0,35.0800974,-5.32212056
11787,0,33.43789893,-4.42476057
48528,0,30.90475149,-5.10070113
72678,0,0,-2.00E-08
50970,20,39.08229758,-10.9753631
37840,0,35.98642477,-10.73055089
44258,0,31.7799078,-7.80637606
10715,40,38.33493265,-6.45446888
12120,500,36.70397575,-8.12006358
67980,300,36.70991445,-6.64260892
41635,500,31.52365762,-8.17864388
14884,0,35.7005422,-3.81945703
56725,0,0,-2.00E-08
33037,0,33.20344175,-9.07440778
22190,0,38.76743559,-5.17227682
47459,1000,35.63419525,-7.85014451
68908,0,39.67094346,-7.90660636
62670,0,36.8272342,-3.18469585
60866,0,32.06802448,-8.68938706
2136,0,39.8543204,-7.78306327
33320,0,35.76391894,-8.08918663
58126,0,33.01476219,-8.43639754
45604,0,31.51225219,-1.13959123
67428,0,33.72402918,-8.93211477
52318,0,33.85161987,-8.82993517
33347,0,34.88475031,-4.89751605
36684,0,34.95840922,-8.51078169
41034,1000,35.2725042,-8.19550192
112,30,38.34276796,-6.60873088
4807,25000,34.71600987,-9.12973959
41845,50,39.77883219,-10.60671713
6065,1500,37.89233459,-4.36699297
37187,0,37.59718978,-3.08465534
26540,50,33.50998861,-2.15235319
8879,0,33.78466711,-3.72624692
30377,0,30.75176889,-2.54922891
20203,0,34.89458362,-4.49407781
8060,500,34.89930829,-9.20451104
59630,500,34.9203231,-8.83707693
10068,0,30.49985221,-2.5554993
34609,0,31.77582328,-1.33162743
26701,0,32.85025146,-9.01509636
46897,0,36.78231907,-3.36937009
34636,10,38.23544422,-6.63641192
52520,10,35.88015611,-3.25083059
